"ISO","Language","Family","Area","H","H_unigram","L2prop","MC","NumChap","Population","Rangesize","vehicularity"
"efi","Efik","Niger-Congo","African-Savannah",1.55963397026062,8.72897243499756,0.831510961055756,0.666666686534882,3,400000,1967.5157,1
"ega","Ega","Niger-Congo","African-Savannah",,,0,0,1,2500,15.98627752,0
"eip","Eipomek","Trans-New-Guinea","Interior-New-Guinea",,,0,0.714285731315613,7,3000,671.3625451,0
"eka","Ekajuk","Niger-Congo",,1.49642610549927,8.57670116424561,0,,,30000,465.8911085,0
"ekg","Ekari","Trans-New-Guinea","Interior-New-Guinea",,,0,0.713203489780426,11,100000,12236.46089,0
"eko","Koti","Niger-Congo","S-Africa",,10.2932233810425,0,1,1,77000,657.402754,0
"eky","Eastern Kayah","Sino-Tibetan","Southeast-Asia",,,0,0.14322917163372,16,18000,283.075263,0
"ell","Greek","Indo-European","Europe",1.7577018737793,9.22104549407959,0.004339719191194,0.451913267374039,28,11792480,139927.6003,1
"eme","Emerillon","Tupian","NE-South-America",,,0,1,7,400,513.7524675,0
"emi","Mussau-Emira","Austronesian","N-Coast-New-Guinea",1.29259097576141,8.35997772216797,0,0.142857149243355,7,5000,388.602898,0
"emp","Northern Emberá","Chocoan","Andean",1.39286649227142,9.92122745513916,0,1,8,60200,26867.00937,0
"enb","Endo","Nilo-Saharan","S-Africa",1.40386879444122,9.63394641876221,0,,,161000,2627.087483,0
"eng","English","Indo-European","Europe",1.63169872760773,8.36774635314941,0.621808588504791,0.329251706600189,28,492481870,13989408.63,1
"enh","Tundra Enets","Uralic","Inner-Asia",,,0,0.857142865657806,7,10,2931.214618,0
"enn","Engenni","Niger-Congo","African-Savannah",,,0,0.291666656732559,12,20000,193.5066095,0
"eno","Enggano","Unclassified","Southeast-Asia",,,0,0.714285731315613,7,1500,400.0589831,0
"erg","Sie","Austronesian","Oceania",,,0,0.688888907432556,9,1900,735.8166496,0
"erk","South Efate","Austronesian","Oceania",,,0,0.600000023841858,5,6000,682.6823606,0
"ese","Ese Ejja","Tacanan","NE-South-America",1.20002543926239,8.66879272460938,0,0.125,8,1770,5442.817106,0
"esi","North Alaskan Inupiatun","Eskimo-Aleut",,1.68372893333435,11.9094190597534,0,,,6420,54302.88602,0
"esk","Northwest Alaska Inupiatun","Eskimo-Aleut","Alaska-Oregon",1.74223864078522,12.5172567367554,0,,,2420,116340.0538,0
"ess","Central Siberian Yupik","Eskimo-Aleut","N-Coast-Asia",,,0,1,2,1130,6548.553779,0
"esu","Central Yupik","Eskimo-Aleut","Alaska-Oregon",,,0,0.8045454621315,22,16900,127591.7769,0
"etr","Edolo","Trans-New-Guinea","Interior-New-Guinea",1.31436598300934,9.66268348693848,0,,,1670,470.8302233,0
"eus","Basque","Language-isolate","Europe",1.68391287326813,10.3480634689331,,0.6474489569664,28,656200,16420.12479,1
"eve","Even","Altaic","Inner-Asia",,,0,0.666666686534882,9,7170,57012.37435,0
"evn","Evenki","Altaic","Inner-Asia",,,0,0.74770724773407,27,27580,489069.3395,0
"ewe","Éwé","Niger-Congo","African-Savannah",1.71694827079773,8.89635753631592,0.10674636811018,0.38506942987442,24,3112000,16400.96273,1
"ewo","Ewondo","Niger-Congo","African-Savannah",,,,0.444444447755814,9,578000,50801.96222,1
"faa","Fasu","Trans-New-Guinea","Interior-New-Guinea",1.21966397762299,9.54680347442627,0,1,4,1200,2454.723071,0
"fai","Faiwol","Trans-New-Guinea",,1.49936437606812,9.19514942169189,0,,,4500,3337.745541,0
"fal","South Fali","Niger-Congo",,1.60535383224487,8.25111389160156,0,,,20000,918.6637347,0
"fao","Faroese","Indo-European","Europe",1.69166731834412,9.25467014312744,,0.333333343267441,3,48200,1415.345395,1
"ffm","Maasina Fulfulde","Niger-Congo","African-Savannah",1.72416615486145,9.41869831085205,0,,,1001200,281981.0494,0
"fij","Fijian","Austronesian","Oceania",1.40236508846283,7.40920257568359,0.485429525375366,0.279190480709076,25,333440,11608.71367,0
"fin","Finnish","Uralic","Inner-Asia",1.7202091217041,10.4171133041382,0.047842007130385,0.477014660835266,26,4739460,309002.851,1
"fla","Kalispel-Pend D'oreille","Salish","Basin-and-Plains",,,0,0.574999988079071,10,64,1742.129749,0
"fon","Fon","Niger-Congo","African-Savannah",1.61293792724609,7.77579116821289,,0.200000002980232,5,1435500,5481.270542,1
"for","Fore","Trans-New-Guinea","Interior-New-Guinea",1.43918526172638,10.4025888442993,0,0.800000011920929,5,17000,674.2862924,0
"fqs","Fas","Fas","N-Coast-New-Guinea",,,0,0.600000023841858,5,2500,2017.13295,0
"fra","French","Indo-European","Europe",1.69913911819458,9.09375953674316,0.668543875217438,0.434111714363098,26,65458630,915749.3821,1
"frs","Eastern Frisian","Indo-European","Europe",,,0,0.150000005960464,5,2000,123.4214576,0
"fry","Western Frisian","Indo-European","Europe",1.6801700592041,8.4726448059082,,0.125,1,467000,3031.221507,1
"fub","Adamawa Fulfulde","Niger-Congo","African-Savannah",1.69940674304962,9.17515277862549,,0.7890625,16,8518000,80432.94098,1
"fud","East Futuna","Austronesian","Oceania",,,0,0.125,2,3600,92.10220836,0
"fuf","Pular","Niger-Congo","African-Savannah",1.66760647296906,9.00451278686523,,1,1,2601200,78137.74986,1
"fuh","Western Niger Fulfulde","Niger-Congo","African-Savannah",1.71077144145966,9.47372245788574,0,,,1230000,98569.2812,0
"fun","Fulniô","Language-isolate","NE-South-America",,,0,1,6,2930,1407.25511,0
"fut","Futuna-Aniwa","Austronesian","Oceania",,,0,0.181818187236786,11,1500,18.06794913,0
"fuu","Furu","Nilo-Saharan","S-Africa",,,0,0.571428596973419,7,16000,3306.022594,0
"fuv","Nigerian Fulfulde","Niger-Congo","African-Savannah",1.65407025814056,9.14830493927002,,,,1710000,14896.4106,1
"fvr","Fur","Nilo-Saharan","African-Savannah",,,0,0.594444453716278,15,501800,112631.7269,0
"gaa","Ga","Niger-Congo","African-Savannah",1.63214588165283,8.48653888702393,0,0.5,6,600000,1675.615163,0
"gae","Guarequena","Maipurean","NE-South-America",,,0,0.818181812763214,11,500,25973.86605,0
"gag","Gagauz","Altaic","Europe",1.81366682052612,10.4607076644897,0,1,1,150000,3239.033494,0
"gah","Alekano","Trans-New-Guinea","Interior-New-Guinea",1.46058595180511,9.82432174682617,0,1,10,25000,257.3404537,0
"gaj","Gadsup","Trans-New-Guinea","Interior-New-Guinea",,,0,0.857142865657806,7,22100,391.4119446,0
"gam","Kandawo","Trans-New-Guinea",,1.38265991210938,7.90731620788574,0,,,4000,203.7487533,0
"gaw","Nobonob","Trans-New-Guinea",,1.33825969696045,8.39626026153564,0,,,5000,220.1766465,0
"gbd","Karadjeri","Australian","N-Australia",,,0,0.75,4,12,11798.70635,0
"gbi","Galela","West-Papuan","Oceania",1.44018089771271,8.11023426055908,0,0.25,1,79000,4593.216553,0
"gbo","Northern Grebo","Niger-Congo",,1.68355119228363,8.81101703643799,0,,,84500,7332.493262,0
"gbp","Gbaya-Bossangoa","Niger-Congo","African-Savannah",,,0,0.5,9,200000,7936.278857,0
"gbr","Gbagyi","Niger-Congo",,,,0,0.04166666790843,6,700000,17362.05229,0
"gbu","Gagadu","Australian","N-Australia",,,0,0.583333313465118,6,6,1112.957277,0
"gdb","Pottangi Ollar Gadaba","Dravidian","Indic",,,0,1,1,15000,384.3177963,0
"gde","Gude","Afro-Asiatic","African-Savannah",1.44018745422363,8.52637004852295,0,0.533333361148834,10,96000,566.8988216,0
"gdm","Laal","Unclassified","African-Savannah",,,0,0.5,8,750,131.2551548,0
"gdn","Umanakaina","Trans-New-Guinea",,1.18730580806732,8.29910182952881,0,,,2400,500.1829268,0
"gdo","Ghodoberi","North-Caucasian","Greater-Mesopotamia",,,0,0.804166674613953,8,3000,32.9633494,0
"gdq","Mehri","Afro-Asiatic","Greater-Mesopotamia",,,0,0.530303001403809,11,121400,120798.8793,0
"gdr","Wipi","Eastern-Trans-Fly",,1.46404600143433,8.7918586730957,0,,,3500,2576.684803,0
"geb","Kire","Ramu-Lower-Sepik","N-Coast-New-Guinea",1.26111745834351,8.34293460845947,0,1,1,2420,147.5160717,0
"gej","Gen","Niger-Congo",,1.62478351593018,8.19809055328369,,,,327000,180.5832071,1
"gey","Enya","Niger-Congo","S-Africa",,,0,1,2,15000,1035.607201,0
"gfk","Patpatar","Austronesian","N-Coast-New-Guinea",1.31951093673706,7.74585103988647,0,,,7000,604.4937786,0
"gge","Guragone","Australian","N-Australia",,,0,0.722222208976746,3,20,1028.137715,0
"ggw","Gogodala","Trans-New-Guinea","S-New-Guinea",,,0,1,2,22000,2867.731419,0
"ghs","Guhu-Samane","Trans-New-Guinea","S-New-Guinea",1.47157680988312,9.57139873504639,0,0.75,4,12800,1318.471775,0
"gil","Kiribati","Austronesian","Oceania",1.41706717014313,7.736741065979,,0.458333343267441,19,66110,1037.244828,1
"git","Gitxsan","Tsimshian","Alaska-Oregon",,,0,0.666666686534882,3,1330,170.226174,0
"giz","South Giziga","Afro-Asiatic",,1.57914197444916,8.49931716918945,0,0.5,2,60000,1301.88525,0
"gju","Gujari","Indo-European","Indic",,,0,1,2,990000,6229.709786,0
"gkn","Gokana","Niger-Congo","African-Savannah",1.58226919174194,8.0921106338501,0,0.222222223877907,9,100000,87.86426913,0
"gkp","Guinea Kpelle","Niger-Congo",,1.70058476924896,8.83855438232422,0,,,308000,6437.473613,0
"gla","Scottish Gaelic","Indo-European","Europe",1.60049796104431,8.48280620574951,,0.400000005960465,11,58700,14391.24275,1
"gld","Nanai","Altaic","N-Coast-Asia",,,0,0.5,1,3902,14741.63852,0
"gle","Irish Gaelic","Indo-European","Europe",1.68441152572632,9.10033988952637,0.856208384037018,0.384920626878738,21,260000,4524.676412,1
"glg","Galician","Indo-European","Europe",,,,1,1,3185000,36502.37389,1
"glk","Gilaki","Indo-European","Greater-Mesopotamia",,8.93082141876221,0,0.5,4,3270000,6572.744526,0
"glu","Gula","Nilo-Saharan","African-Savannah",,,0,0.16666667163372,6,10300,645.8746051,0
"gmm","Gbaya-Mbodomo","Niger-Congo",,,,0,0.600000023841858,5,20000,12416.1898,0
"gnd","Zulgo-Gemzek","Afro-Asiatic",,1.28921544551849,7.42796087265015,0,,,26000,176.2914297,0
"gng","Ngangam","Niger-Congo",,1.51172125339508,8.15847587585449,0,,,66000,1844.942122,0
"gni","Gooniyandi","Australian","N-Australia",,,0,0.620496869087219,23,100,5706.873026,0
"gnn","Gumatj","Australian","N-Australia",1.22407793998718,9.49645042419434,0,1,1,300,143.565439,0
"gnw","Western Bolivian Guaraní","Tupian",,1.26183044910431,7.93513154983521,0,,,7000,19088.32365,0
"god","Godié","Niger-Congo","African-Savannah",,,0,0.800000011920929,1,26400,5570.040171,0
"gog","Gogo","Niger-Congo",,1.5310605764389,9.96396255493164,0,,,1440000,37274.57643,0
"gol","Gola","Niger-Congo","African-Savannah",,,0,1,1,107300,8511.056344,0
"gor","Gorontalo","Austronesian","Oceania",1.39927113056183,9.43089389801025,0,,,900000,6736.15745,0
"gpn","Taiap","Language-isolate","N-Coast-New-Guinea",,,0,0.699999988079071,2,80,69.27175348,0
"gqa","Ga'anda","Afro-Asiatic","African-Savannah",,,0,1,3,43000,257.640635,0
"grj","Southern Grebo","Niger-Congo",,,,0,0.465190470218658,25,61600,1105.723555,0
"grt","Garo","Sino-Tibetan","Indic",1.51427018642426,10.2948179244995,,0.65191513299942,23,900000,13429.8449,1
"gru","Kistane","Afro-Asiatic","Greater-Abyssinia",,,0.19175910949707,1,3,255000,1020.879648,0
"gso","Gbaya, Southwest","Niger-Congo",,1.49572515487671,7.70201969146729,0,,,220000,20558.65459,0
"gta","Guató","Language-isolate","NE-South-America",,,0,1,1,40,2707.734979,0
"gub","Guajajára","Tupian","NE-South-America",1.2576242685318,8.12296295166016,0,0.600000023841858,5,15000,55698.99164,0
"guc","Wayuu","Maipurean","NE-South-America",1.26877307891846,9.41792106628418,0,0.833333313465118,6,305000,32700.32631,0
"gud","Yocoboué Dida","Niger-Congo",,1.4954993724823,8.33964538574219,0,,,102000,3062.745892,0
"guh","Guahibo","Guajiboan","NE-South-America",1.11252617835999,9.93764877319336,0,,,34200,113026.5326,0
"gui","Eastern Bolivian Guaraní","Tupian","SE-South-America",1.25685167312622,7.93714141845703,0,0.75,1,51230,46866.15784,0
"guj","Gujarati","Indo-European","Indic",1.77393925189972,10.264479637146,,0.571428596973419,7,45544800,121962.4685,1
"guk","Gumuz","Nilo-Saharan","Greater-Abyssinia",2.16132116317749,10.4545049667358,0.019607843831182,0.78125,8,160000,37281.69059,0
"gul","Sea Island Creole English","Creole",,1.53173077106476,7.6727032661438,0,,,250000,73046.062,0
"gum","Guambiano","Paezan","Andean",1.38843297958374,10.2891721725464,0,,,23500,1215.335479,0
"gun","Mbyá Guaraní","Tupian","SE-South-America",1.47074723243713,8.48177242279053,0,,,25400,52559.8449,0
"guo","Guayabero","Guajiboan","NE-South-America",1.29142010211945,9.59048175811768,0,,,2000,5929.951436,0
"gup","Gunwinggu","Australian","N-Australia",,,0,0.594444453716278,12,1410,9854.617979,0
"guq","Aché","Tupian","SE-South-America",1.4526538848877,8.64097595214844,0,,,1360,3574.179428,0
"gur","Farefare","Niger-Congo","African-Savannah",1.5013644695282,7.78778743743897,,,,845100,3332.359859,1
"guw","Gun","Niger-Congo","African-Savannah",1.64411866664886,8.24808406829834,0,,,579000,1221.173978,0
"gux","Gourmanchéma","Niger-Congo","African-Savannah",1.46939504146576,7.79452323913574,0,,,813000,62941.79597,0
"guz","Gusii","Niger-Congo","S-Africa",1.63785636425018,11.0048484802246,0.184822380542755,1,1,2120000,2267.069759,0
"gvc","Guanano","Tucanoan","NE-South-America",1.38564896583557,9.18211364746094,0,,,850,1436.226447,0
"gvf","Golin","Trans-New-Guinea","Interior-New-Guinea",1.27468752861023,8.29836273193359,0,0.555555582046509,9,51100,932.2001643,0
"gvl","Gulay","Nilo-Saharan",,1.46882951259613,8.3063850402832,0,,,163000,3546.038437,0
"gvn","Kuku-Yalanji","Australian","N-Australia",1.27912998199463,9.59283542633057,0,0.560606062412262,11,240,5368.365215,0
"gvo","Gavião do Jiparaná","Tupian","NE-South-America",,,0,0.5,2,470,911.5080984,0
"gvs","Gumawana","Austronesian","S-New-Guinea",,,0,0.545454561710358,11,470,23.3277363,0
"gwd","Gawwada","Afro-Asiatic","Greater-Abyssinia",,,0.019579820334911,1,1,32700,1677.237982,0
"gwi","Gwich'in","Eyak-Athabaskan","Alaska-Oregon",1.36749184131622,9.35193824768066,0,,,800,8727.678139,0
"gww","Kwini","Australian","N-Australia",,,0,0.5,8,50,157.0680561,0
"gya","Northwest Gbaya","Niger-Congo","African-Savannah",1.61785328388214,8.27480602264404,0,0.53125,8,274500,63583.40556,0
"gyb","Garus","Trans-New-Guinea","N-Coast-New-Guinea",,,0,0.666666686534882,3,2650,137.4397892,0
"gyd","Kayardild","Australian","N-Australia",,,0,0.546611726284027,26,150,148.5153365,0
"gym","Ngäbere","Chibchan","Mesoamerica",1.26213157176971,8.57056903839111,0,0.635416686534882,8,133090,10117.81544,0
"gyr","Guarayu","Tupian",,1.5036780834198,8.95644283294678,0,,,5930,18640.88517,0
"had","Hatam","Language-isolate","N-Coast-New-Guinea",,,0,0.415714293718338,15,16000,1096.503229,0
"hae","Eastern Oromo","Afro-Asiatic","S-Africa",1.61067152023315,10.2154130935669,0,0.48659610748291,27,4530000,36999.10685,0
"hag","Hanga","Niger-Congo",,1.41954052448273,7.38821268081665,0,,,6800,236.170298,0
"hak","Hakka Chinese","Sino-Tibetan","Southeast-Asia",1.52036488056183,8.87957954406738,2.09093250305159E-05,1,1,28070000,162903.7283,1
"har","Harari","Afro-Asiatic","Greater-Abyssinia",,,0.231456652283668,1,1,21300,5.299330492,0
"hat","Haitian Creole French","Creole","Mesoamerica",1.60736954212189,7.82295083999634,,,,7489840,27060.73759,1
"hau","Hausa","Afro-Asiatic","African-Savannah",1.6184937953949,8.56601142883301,0.416007995605469,0.321896255016327,28,24060500,359262.5028,1
"haw","Hawaiian","Austronesian","Oceania",1.37274098396301,6.97391700744629,,0.205555558204651,18,1000,16691.71357,1
"hax","Southern Haida","Haida","Alaska-Oregon",,,0,0.543452382087708,22,10,19.69786636,0
"hay","Haya","Niger-Congo","S-Africa",1.74415528774261,11.2049150466919,0,0.899999976158142,5,1300000,7623.823909,0
"hch","Huichol","Uto-Aztecan","Mesoamerica",1.48217391967773,10.9715213775635,0,1,8,20000,9781.284024,0
"heb","Hebrew","Afro-Asiatic","Greater-Mesopotamia",1.99540817737579,11.0637645721436,,0.529144644737244,27,4850000,11533.54207,1
"heg","Helong","Austronesian",,1.40468955039978,8.41309261322022,0,,,14000,221.6511564,0
"heh","Hehe","Niger-Congo","S-Africa",1.69642126560211,10.6567668914795,0,1,2,805000,27454.9459,0
"hei","Heiltsuk","Wakashan","Alaska-Oregon",,,0,1,1,300,163.8896331,0
"hem","Hemba","Niger-Congo","S-Africa",,,0,1,1,181000,62533.87374,0
"her","Herero","Niger-Congo","S-Africa",,,0,0.5,2,237000,165253.9635,0
"hia","Lamang","Afro-Asiatic","African-Savannah",,,0,0.466666668653488,10,40000,495.7428996,0
"hid","Hidatsa","Siouan-Catawban","Basin-and-Plains",,,0,0.800000011920929,5,100,520.0507079,0
"hig","Kamwe","Afro-Asiatic",,1.38561761379242,7.99987840652466,0,,,300000,621.7867936,0
"hil","Hiligaynon","Austronesian","Oceania",1.39373373985291,7.87484121322632,,0.333333343267441,3,5770000,14662.24905,1
"hin","Hindi","Indo-European","Indic",1.78161180019379,8.92405796051025,0.317888826131821,0.530761897563934,25,180122200,345790.8285,1
"hix","Hixkaryána","Cariban","NE-South-America",,,0,0.489021152257919,27,600,2198.939581,0
"hke","Hunde","Niger-Congo","S-Africa",,,0,0.800000011920929,10,200000,3229.00133,0
"hla","Halia","Austronesian","Oceania",1.3555680513382,7.92271089553833,0,0.472222208976746,9,20000,166.7209459,0
"hmr","Hmar","Sino-Tibetan","Southeast-Asia",,,0,0.380952388048172,7,50000,2201.271825,0
"hmt","Hamtai","Trans-New-Guinea","Interior-New-Guinea",,,0,0.794444441795349,15,45000,5928.444013,0
"hna","Mina","Afro-Asiatic","African-Savannah",,,0,0.25,4,11000,436.7669144,0
"hne","Chhattisgarhi","Indo-European",,1.78506124019623,8.68045997619629,0,,,15000000,57368.12002,0
"hnh","//Ani","Khoisan","S-Africa",,,0,0.416666656732559,4,1000,739.4911483,0
"hnj","Hmong Njua","Hmong-Mien",,,,0,0.143501982092857,24,210000,48436.05888,0
"hnn","Hanunoo","Austronesian","Oceania",1.39726030826569,8.34009265899658,0,,,13000,688.5448422,0
"hns","Caribbean Hindustani","Indo-European",,1.42556893825531,8.33874416351318,0,,,150000,,0
"hoa","Hoava","Austronesian","Oceania",,,0,0.28571429848671,7,460,153.7920839,0
"hoc","Ho","Austro-Asiatic","Indic",,,0,0.800000011920929,5,1500000,8774.764168,0
"hoo","Holoholo","Niger-Congo","S-Africa",,,0,1,1,15500,3147.301024,0
"hop","Hopi","Uto-Aztecan","Basin-and-Plains",1.48311078548431,9.47724723815918,0,0.857142865657806,7,5260,2335.796852,0
"hot","Hote","Austronesian",,1.40824377536774,7.88267707824707,0,,,2240,284.8621823,0
"hrv","Croatian","Indo-European","Europe",2.0347580909729,10.099368095398,0.192118525505066,0.441666662693024,15,4002900,57020.78824,1
"hsb","Upper Sorbian","Indo-European","Europe",,,0,0.833333313465118,2,18000,1447.281003,0
"hto","Minica Huitoto","Witotoan","NE-South-America",1.55035102367401,9.84897518157959,0,0.391666680574417,8,6800,28373.65291,0
"hub","Huambisa","Jivaroan","Andean",1.51704001426697,10.788143157959,0,,,9330,11149.60217,0
"hui","Huli","Trans-New-Guinea",,1.24443829059601,9.43383598327637,0,,,70000,5125.232158,0
"hun","Hungarian","Uralic","Europe",1.83351218700409,10.0933799743652,,0.558163285255432,28,12173900,119364.673,1
"hup","Hupa","Eyak-Athabaskan","California",,,0.789473712444306,0.625,8,8,383.5613785,0
"hur","Halkomelem","Salish","Alaska-Oregon",,,0,0.357142865657806,4.5,200,452.0925332,0
"hus","Veracruz Huastec","Mayan",,1.29244160652161,8.16270446777344,0,,,50000,1038.382286,0
"huu","Murui Huitoto","Witotoan","NE-South-America",1.34801614284515,9.56283664703369,0,0.833333313465118,6,7800,36727.15874,0
"huv","San Mateo del Mar Huave","Huavean","Mesoamerica",1.36358332633972,8.85767650604248,0,0.504464268684387,12,12000,132.6232882,0
"huz","Hunzib","North-Caucasian","Greater-Mesopotamia",,,0,0.727743268013001,23,1840,153.1991258,0
"hvn","Sabu","Austronesian","Oceania",1.37784361839294,7.45738410949707,0,0.508333325386047,4,110000,474.1526524,0
"hwc","Hawai'i Creole English","Creole","Oceania",1.50635457038879,7.66136884689331,0.400000005960465,0.5,3,600000,16691.71357,0
"hye","Armenian","Indo-European","Greater-Mesopotamia",1.81312024593353,10.2052612304688,,0.683218836784363,19,4684400,36780.92778,1
"iai","Iaai","Austronesian","Oceania",,,0,0.223437502980232,16,1560,105.5158169,0
"ian","Iatmul","Sepik","N-Coast-New-Guinea",1.26905632019043,8.71463489532471,0,1,1,8440,1362.828198,0
"iba","Iban","Austronesian","Southeast-Asia",1.36573231220245,8.10765361785889,0.471602767705917,0,10,694400,57487.76258,1
"ibd","Iwaidja","Australian","N-Australia",,,0,1,2,150,4902.439322,0
"ibo","Igbo","Niger-Congo","African-Savannah",1.64221739768982,8.61358261108398,,0.367156863212586,17,18000000,24459.21754,1
"idu","Idoma","Niger-Congo","African-Savannah",,,0,0.25,2,600000,4717.843772,0
"ifb","Batad Ifugao","Austronesian","Oceania",1.45970857143402,8.70310974121094,0,0.75,4,43000,974.9296117,0
"ifk","Tuwali Ifugao","Austronesian",,1.51843333244324,8.815842628479,0,,,30000,450.5943572,0
"ifm","Teke-Fuumu","Niger-Congo","S-Africa",,,0,0.333333343267441,3,8150,15271.52288,0
"ifu","Mayoyao Ifugao","Austronesian",,1.40613901615143,7.99373006820679,0,,,30000,323.9511951,0
"ify","Keley-I Kallahan","Austronesian",,1.5039883852005,8.6086311340332,0,,,8000,54.26529683,0
"igb","Ebira","Niger-Congo","African-Savannah",,,0,0,1,1000000,5401.262024,0
"ige","Igede","Niger-Congo","African-Savannah",,,0,0.5,2,250000,2319.498296,0
"ign","Ignaciano","Maipurean","NE-South-America",1.4116678237915,9.4760799407959,0,0.666666686534882,6,4500,1962.512955,0
"ihp","Iha","Trans-New-Guinea","N-Coast-New-Guinea",,,0,1,2,5500,1508.742559,0
"ijc","Izon","Niger-Congo","African-Savannah",,,0,0.810606062412262,11,1000000,11670.78632,0
"ike","Eastern Canadian Inuktitut","Eskimo-Aleut",,,12.9494848251343,,0.583333313465118,3,14000,2716.01944,1
"ikk","Ika","Niger-Congo",,1.71553707122803,,0,,,22800,184.1299534,0
"ikw","Ikwere","Niger-Congo",,1.58173644542694,8.3096227645874,0,,,200000,2265.239079,0
"ikx","Ik","Nilo-Saharan","S-Africa",,,0,0.805555582046509,9,10000,823.7342701,0
"ilb","Ila","Niger-Congo","S-Africa",,,0,1,6,71200,8209.15921,0
"ilo","Ilocano","Austronesian","Oceania",1.50943458080292,8.51048469543457,,0.5625,2,6920000,27775.62596,1
"imi","Anamgura","Trans-New-Guinea","N-Coast-New-Guinea",,,0,1,5,1250,94.12405386,0
"imn","Imonda","Border","N-Coast-New-Guinea",,,0,0.458978176116943,24,250,29.88318181,0
"imo","Imbongu","Trans-New-Guinea","Interior-New-Guinea",1.2812032699585,9.23842525482178,0,,,42500,618.1126601,0
"inb","Inga","Quechuan","Andean",1.3145295381546,10.3598899841309,0,,,12000,4415.425983,0
"inh","Ingush","North-Caucasian","Greater-Mesopotamia",,,0,0.65638530254364,22,413000,9001.460752,0
"ino","Inoke-Yate","Trans-New-Guinea",,1.28484082221985,10.1102895736694,0,,,10000,70.50766631,0
"iou","Tuma-Irumu","Trans-New-Guinea",,1.49152612686157,9.76150035858154,0,,,1500,123.8426172,0
"ipi","Ipili","Trans-New-Guinea",,1.03419160842896,8.9675407409668,0,,,26000,518.0414448,0
"iqu","Iquito","Zaparoan","NE-South-America",,,0,0.546296298503876,9,35,1946.349955,0
"irh","Irarutu","Austronesian","N-Coast-New-Guinea",,,0,0.5,6,4000,8324.142277,0
"iri","Irigwe","Niger-Congo",,1.48716676235199,7.44304704666138,0,,,40000,282.4647164,0
"irk","Iraqw","Afro-Asiatic","S-Africa",1.6831202507019,9.77824878692627,0,0.499166667461395,20,462000,10129.8897,0
"irn","Irántxe","Language-isolate","NE-South-America",,,0,0.5,6,190,7947.017261,0
"iry","Iraya","Austronesian",,1.36959385871887,8.00243282318115,0,,,10000,1672.382187,0
"isi","Nkem-Nkum","Niger-Congo","African-Savannah",,,0,0.200000002980232,5,34500,393.7720873,0
"isl","Icelandic","Indo-European","Europe",1.85601389408112,9.36986064910889,,0.439473688602448,19,230000,83210.7183,1
"ita","Italian","Indo-European","Europe",1.79452657699585,9.34804439544678,0.046422313898802,0.384803920984268,17,57191010,241796.5491,1
"itl","Itelmen","Chukotko-Kamchatkan","N-Coast-Asia",,,0,0.519999980926514,10,380,5597.347852,0
"ito","Itonama","Language-isolate","NE-South-America",,,0,0.800000011920929,5,10,460.6493001,0
"its","Isekiri","Niger-Congo","African-Savannah",,,0,0.08333333581686,3,510000,2615.491996,0
"itv","Itawit","Austronesian","Oceania",1.22677731513977,7.44211530685425,0,,,134000,2049.511121,0
"itz","Itzá","Mayan","Mesoamerica",,,0,0.666666686534882,3,12,50.99125407,0
"ium","Iu Mien","Hmong-Mien","Southeast-Asia",1.32712197303772,7.893639087677,0,0,7,817300,28951.84848,0
"iwm","Iwam","Sepik","N-Coast-New-Guinea",,,0,0.5,2,3000,821.5619127,0
"iws","Sepik Iwam","Sepik","N-Coast-New-Guinea",1.29887247085571,8.85772323608398,0,,,2500,476.6711051,0
"ixl","San Juan Cotzal Ixil","Mayan",,1.30206704139709,8.27818012237549,0,,,16000,364.9576109,0
"izr","Izere","Niger-Congo",,1.5855153799057,8.03885269165039,0,,,50000,1289.324395,0
"jaa","Jamamadí","Arauan","NE-South-America",,,0,1,1,480,13682.49441,0
"jac","Eastern Jacalteco","Mayan","Mesoamerica",1.31884717941284,8.56141090393066,0,0.460393786430359,26,11000,104.949544,0
"jae","Yabem","Austronesian","N-Coast-New-Guinea",1.53882384300232,8.62401866912842,0,0.638888895511627,9,2080,57.91333481,0
"jam","Jamaican Creole English","Creole","Mesoamerica",1.63502478599548,7.59454441070557,0,,,2993100,12755.17283,0
"jao","Yanyuwa","Australian","N-Australia",,,0,0.833333313465118,4,52,16165.71279,0
"jaq","Yaqay","Trans-New-Guinea","S-New-Guinea",,,0,1,2,10000,3732.727142,0
"jav","Javanese","Austronesian","Southeast-Asia",1.46995198726654,9.60523319244385,0,0.08333333581686,3,84300000,112817.6016,0
"jbj","Arandai","Trans-New-Guinea","N-Coast-New-Guinea",,,0,1,1,1000,2057.479558,0
"jbt","Jabutí","Jabutian","NE-South-America",,,0,1,1,5,282.0995585,0
"jbu","Jukun Takum","Niger-Congo","African-Savannah",1.53899240493774,8.20661163330078,0,0.125,8,2451,4554.04222,0
"jeb","Jebero","Cahuapanan","Andean",,,0,1,8,2500,811.5536686,0
"jei","Yei","South-Central-Papuan","S-New-Guinea",,,0,0.5,2,2390,3871.892744,0
"jel","Yelmek","South-Central-Papuan","S-New-Guinea",,,0,0.5,2,400,736.9236075,0
"jet","Manem","Border","N-Coast-New-Guinea",,,0,1,1,900,677.5948156,0
"jic","Tol","Jicaquean","Mesoamerica",1.40512752532959,7.99808597564697,0,0.600000023841858,2,350,339.0059396,0
